
SetupTitle, I/V-t Sampling
PrimitiveTest, I/V-t Sampling
TestParameter, Measurement.Bias.Source, 2, 0
TestParameter, Measurement.Bias.Compliance, 0.1, 0.1
TestParameter, Measurement.Monitor.Unit, SMU1:MP, SMU3:MP
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC
TestParameter, Measurement.Monitor.RangingMode, LIMITED, LIMITED
TestParameter, Measurement.Monitor.RangeBoundary, 1nA, 1nA
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 1
TestParameter, Measurement.Ag16440ASelector.SemiconductorRelay.Channel1, DEFAULT
TestParameter, Measurement.Ag16440ASelector.SemiconductorRelay.Channel3, DEFAULT
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Time
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 2099
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, I1
TestParameter, Output.Graph.YAxis.Scale, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1
TestParameter, Output.Graph.YAxis.Top, 0.1
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true
TestParameter, Output.List.Data, Time, I1, V1, I2, V2
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
TestParameter, Measurement.Sampling.StopCondition.Enabled, false
TestParameter, Measurement.Sampling.StopCondition.EnableDelay, 0
TestParameter, Measurement.Sampling.StopCondition.Name, 
TestParameter, Measurement.Sampling.StopCondition.Threshold, 0
TestParameter, Measurement.Sampling.StopCondition.Event, Val > Th
TestParameter, Measurement.Sampling.StopCondition.EventCount, 1
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 02/14/2023 13:25:03
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 2
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, dbd6d6be-4ca8-4476-b6ff-55ba9ccd34ba
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Time
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, s
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 61.000000000000007
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, I1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 2.8E-09
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 7.8E-09
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 17.204918032786882
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.55999999999999994
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 17.204918032786882
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.55999999999999994
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 17.204918032786882
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.55999999999999994
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 17.204918032786882
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.55999999999999994
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 17.204918032786882
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.55999999999999994
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Time, I1, V1, I2, V2
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, s, A, V, A, V
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V-t Sampling
Dimension1, 3000, 3000, 3000, 3000, 3000
Dimension2, 1, 1, 1, 1, 1
DataName, V1, V2, Time, I1, I2
DataValue, 2, 0, 0, 5.2481E-09, -5.1611999999999991E-09
DataValue, 2, 0, 0.135, 5.1308999999999993E-09, -5.1094999999999994E-09
DataValue, 2, 0, 0.195, 5.0723999999999992E-09, -5.0705999999999994E-09
DataValue, 2, 0, 0.255, 5.0515E-09, -5.0122999999999993E-09
DataValue, 2, 0, 0.30500000000000005, 5.0102E-09, -5.0046E-09
DataValue, 2, 0, 0.35500000000000004, 4.9854999999999994E-09, -4.9718E-09
DataValue, 2, 0, 0.405, 4.9565999999999992E-09, -4.9504E-09
DataValue, 2, 0, 0.455, 4.9349999999999992E-09, -4.9221999999999994E-09
DataValue, 2, 0, 0.505, 4.9085E-09, -4.9001E-09
DataValue, 2, 0, 0.555, 4.8925999999999994E-09, -4.8795999999999996E-09
DataValue, 2, 0, 0.60500000000000009, 4.8672999999999995E-09, -4.8711E-09
DataValue, 2, 0, 0.66, 4.8474E-09, -4.8407999999999992E-09
DataValue, 2, 0, 0.72000000000000008, 4.8323999999999992E-09, -4.8139E-09
DataValue, 2, 0, 0.78, 4.8197999999999994E-09, -4.7787E-09
DataValue, 2, 0, 0.84000000000000008, 4.7953E-09, -4.7798999999999992E-09
DataValue, 2, 0, 0.89000000000000012, 4.7761999999999993E-09, -4.7821E-09
DataValue, 2, 0, 0.94000000000000006, 4.7648E-09, -4.7571999999999992E-09
DataValue, 2, 0, 0.9900000000000001, 4.7447999999999996E-09, -4.7452E-09
DataValue, 2, 0, 1.0450000000000002, 4.7327999999999992E-09, -4.7363E-09
DataValue, 2, 0, 1.105, 4.7089E-09, -4.7251999999999994E-09
DataValue, 2, 0, 1.165, 4.6988999999999991E-09, -4.7070999999999992E-09
DataValue, 2, 0, 1.225, 4.6843999999999993E-09, -4.6894999999999996E-09
DataValue, 2, 0, 1.2850000000000001, 4.6761999999999992E-09, -4.6702999999999995E-09
DataValue, 2, 0, 1.3450000000000002, 4.6657999999999993E-09, -4.6499999999999995E-09
DataValue, 2, 0, 1.405, 4.651E-09, -4.6456E-09
DataValue, 2, 0, 1.465, 4.64E-09, -4.6339999999999995E-09
DataValue, 2, 0, 1.5150000000000001, 4.6203E-09, -4.6333E-09
DataValue, 2, 0, 1.5650000000000002, 4.6197E-09, -4.6104E-09
DataValue, 2, 0, 1.6150000000000002, 4.6085999999999992E-09, -4.608E-09
DataValue, 2, 0, 1.6700000000000002, 4.5979E-09, -4.5964999999999992E-09
DataValue, 2, 0, 1.7300000000000002, 4.5884999999999992E-09, -4.5877E-09
DataValue, 2, 0, 1.79, 4.5784E-09, -4.5745999999999995E-09
DataValue, 2, 0, 1.85, 4.5685999999999993E-09, -4.5646999999999993E-09
DataValue, 2, 0, 1.9100000000000001, 4.5575999999999992E-09, -4.5570999999999995E-09
DataValue, 2, 0, 1.9700000000000002, 4.5484E-09, -4.5467999999999992E-09
DataValue, 2, 0, 2.0300000000000002, 4.5389E-09, -4.5384E-09
DataValue, 2, 0, 2.0900000000000003, 4.5326E-09, -4.5248999999999995E-09
DataValue, 2, 0, 2.14, 4.5222999999999996E-09, -4.5249999999999992E-09
DataValue, 2, 0, 2.1900000000000004, 4.5168999999999996E-09, -4.5106E-09
DataValue, 2, 0, 2.24, 4.5084E-09, -4.5089E-09
DataValue, 2, 0, 2.29, 4.5028E-09, -4.4987999999999994E-09
DataValue, 2, 0, 2.3400000000000003, 4.4944999999999993E-09, -4.4955E-09
DataValue, 2, 0, 2.395, 4.4862E-09, -4.4864E-09
DataValue, 2, 0, 2.455, 4.4793999999999992E-09, -4.4773999999999994E-09
DataValue, 2, 0, 2.515, 4.4702999999999993E-09, -4.4704999999999994E-09
DataValue, 2, 0, 2.575, 4.4622E-09, -4.4631E-09
DataValue, 2, 0, 2.6350000000000002, 4.4557999999999994E-09, -4.4553999999999993E-09
DataValue, 2, 0, 2.6950000000000003, 4.4512999999999993E-09, -4.4410999999999995E-09
DataValue, 2, 0, 2.745, 4.4438E-09, -4.4415999999999992E-09
DataValue, 2, 0, 2.7950000000000004, 4.4380999999999994E-09, -4.4302999999999995E-09
DataValue, 2, 0, 2.845, 5.1617999999999993E-09, -6.9387999999999992E-09
DataValue, 2, 0, 2.895, 7.1676999999999996E-09, -7.7679999999999988E-09
DataValue, 2, 0, 2.9450000000000003, 7.7589E-09, -7.7547E-09
DataValue, 2, 0, 3.0000000000000004, 7.7489E-09, -7.7492999999999985E-09
DataValue, 2, 0, 3.06, 7.7454E-09, -7.7443E-09
DataValue, 2, 0, 3.12, 7.738999999999999E-09, -7.7399E-09
DataValue, 2, 0, 3.18, 7.7377999999999987E-09, -7.7316E-09
DataValue, 2, 0, 3.225, 7.7311999999999991E-09, -7.7325E-09
DataValue, 2, 0, 3.2800000000000002, 7.7288E-09, -7.7221999999999988E-09
DataValue, 2, 0, 3.33, 7.7243999999999987E-09, -7.7238E-09
DataValue, 2, 0, 3.3850000000000002, 7.7171E-09, -7.7184999999999989E-09
DataValue, 2, 0, 3.4400000000000004, 7.7128999999999989E-09, -7.7052E-09
DataValue, 2, 0, 3.49, 7.7072999999999988E-09, -7.7076999999999989E-09
DataValue, 2, 0, 3.5450000000000004, 7.699899999999999E-09, -7.7008999999999985E-09
DataValue, 2, 0, 3.6050000000000004, 7.6964999999999988E-09, -7.6951E-09
DataValue, 2, 0, 3.6650000000000005, 7.691699999999999E-09, -7.6878E-09
DataValue, 2, 0, 3.725, 7.683E-09, -7.6806E-09
DataValue, 2, 0, 3.785, 7.6781999999999986E-09, -7.6699999999999985E-09
DataValue, 2, 0, 3.8300000000000005, 7.6696999999999989E-09, -7.6685999999999989E-09
DataValue, 2, 0, 3.8850000000000002, 7.6677E-09, -7.6550999999999985E-09
DataValue, 2, 0, 3.9350000000000005, 7.6591E-09, -7.6581999999999991E-09
DataValue, 2, 0, 3.9850000000000003, 7.6506E-09, -7.6493E-09
DataValue, 2, 0, 4.035, 7.6446E-09, -7.6519E-09
DataValue, 2, 0, 4.0900000000000007, 7.6383E-09, -7.6397E-09
DataValue, 2, 0, 4.15, 7.6297E-09, -7.6318E-09
DataValue, 2, 0, 4.21, 7.6215E-09, -7.6233E-09
DataValue, 2, 0, 4.2700000000000005, 7.6155E-09, -7.6145999999999989E-09
DataValue, 2, 0, 4.33, 7.6066999999999986E-09, -7.6061E-09
DataValue, 2, 0, 4.3900000000000006, 7.6030999999999991E-09, -7.5932999999999986E-09
DataValue, 2, 0, 4.4350000000000005, 7.5955E-09, -7.5928999999999985E-09
DataValue, 2, 0, 4.49, 7.589E-09, -7.5791E-09
DataValue, 2, 0, 4.54, 7.5817999999999988E-09, -7.5821999999999989E-09
DataValue, 2, 0, 4.5950000000000006, 7.5746E-09, -7.5735E-09
DataValue, 2, 0, 4.65, 7.5679E-09, -7.5608E-09
DataValue, 2, 0, 4.7, 7.5619E-09, -7.5601E-09
DataValue, 2, 0, 4.7550000000000008, 7.552799999999999E-09, -7.5536E-09
DataValue, 2, 0, 4.815, 7.5452E-09, -7.5448E-09
DataValue, 2, 0, 4.875, 7.5385E-09, -7.5362999999999985E-09
DataValue, 2, 0, 4.9350000000000005, 7.5299E-09, -7.5310999999999985E-09
DataValue, 2, 0, 4.995, 7.5253E-09, -7.5198E-09
DataValue, 2, 0, 5.04, 7.5194E-09, -7.5181999999999991E-09
DataValue, 2, 0, 5.0950000000000006, 7.5128999999999987E-09, -7.5046999999999987E-09
DataValue, 2, 0, 5.1450000000000005, 7.506999999999999E-09, -7.5056E-09
DataValue, 2, 0, 5.195, 7.5005E-09, -7.493E-09
DataValue, 2, 0, 5.245, 7.493E-09, -7.489499999999999E-09
DataValue, 2, 0, 5.2950000000000008, 7.4897E-09, -7.4782E-09
DataValue, 2, 0, 5.3450000000000006, 7.4818E-09, -7.4758E-09
DataValue, 2, 0, 5.3950000000000005, 7.4752E-09, -7.4682999999999991E-09
DataValue, 2, 0, 5.445, 7.4682999999999991E-09, -7.4666E-09
DataValue, 2, 0, 5.5000000000000009, 7.4589999999999992E-09, -7.4595999999999985E-09
DataValue, 2, 0, 5.5600000000000005, 7.4506E-09, -7.4506E-09
DataValue, 2, 0, 5.62, 7.4466999999999991E-09, -7.4403E-09
DataValue, 2, 0, 5.6700000000000008, 6.7767999999999992E-09, -6.2656999999999992E-09
DataValue, 2, 0, 5.7200000000000006, 4.5514E-09, -4.1611E-09
DataValue, 2, 0, 5.7700000000000005, 4.1662E-09, -4.1671E-09
DataValue, 2, 0, 5.82, 4.1604E-09, -4.152E-09
DataValue, 2, 0, 5.87, 4.1494999999999994E-09, -4.1474999999999996E-09
DataValue, 2, 0, 5.9250000000000007, 4.1408E-09, -4.1366E-09
DataValue, 2, 0, 5.985, 4.1306E-09, -4.1276E-09
DataValue, 2, 0, 6.0450000000000008, 4.1241E-09, -4.1170999999999994E-09
DataValue, 2, 0, 6.105, 4.1155999999999993E-09, -4.1086999999999993E-09
DataValue, 2, 0, 6.1650000000000009, 4.1062E-09, -4.1075999999999993E-09
DataValue, 2, 0, 6.2250000000000005, 4.0965999999999993E-09, -4.1014999999999995E-09
DataValue, 2, 0, 6.285, 4.0904999999999995E-09, -4.0947E-09
DataValue, 2, 0, 6.3450000000000006, 4.085E-09, -4.082E-09
DataValue, 2, 0, 6.3950000000000005, 4.0809E-09, -4.0829E-09
DataValue, 2, 0, 6.445, 4.0762999999999993E-09, -4.0699E-09
DataValue, 2, 0, 6.495, 4.0701E-09, -4.0707E-09
DataValue, 2, 0, 6.5500000000000007, 4.0649E-09, -4.0645E-09
DataValue, 2, 0, 6.61, 4.0582E-09, -4.0587999999999993E-09
DataValue, 2, 0, 6.6700000000000008, 4.0528999999999995E-09, -4.0513999999999995E-09
DataValue, 2, 0, 6.73, 4.0481E-09, -4.0476E-09
DataValue, 2, 0, 6.7900000000000009, 4.0431E-09, -4.0418999999999995E-09
DataValue, 2, 0, 6.8500000000000005, 4.0373E-09, -4.0386999999999993E-09
DataValue, 2, 0, 6.91, 4.0327E-09, -4.0330999999999992E-09
DataValue, 2, 0, 6.9700000000000006, 4.0308999999999994E-09, -4.0243999999999995E-09
DataValue, 2, 0, 7.0200000000000005, 4.0254999999999994E-09, -4.0258E-09
DataValue, 2, 0, 7.07, 4.0232999999999995E-09, -4.0172E-09
DataValue, 2, 0, 7.120000000000001, 4.0183999999999993E-09, -4.0191999999999995E-09
DataValue, 2, 0, 7.1700000000000008, 4.0154E-09, -4.0083999999999995E-09
DataValue, 2, 0, 7.2200000000000006, 4.0098E-09, -4.0116999999999993E-09
DataValue, 2, 0, 7.275, 4.0068E-09, -4.0072E-09
DataValue, 2, 0, 7.3350000000000009, 4.0027999999999995E-09, -4.0036E-09
DataValue, 2, 0, 7.3950000000000005, 3.9979E-09, -3.9990999999999996E-09
